ID,Name,Part,Path_1 (Mesh),Path_2 (Material)
060,남자상의02_8,0_upper,Mesh_M_UPPER_02,Mat_M_UPPER_02_8
061,남자상의02_8(CUT),1_upper_cut,Mesh_M_UPPER_02_CUT,Mat_M_UPPER_02_8_CUT
062,여자상의01_7,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_7
063,여자상의01_7(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_7_CUT
064,여자상의01_8,0_upper,Mesh_F_SHIRT_01,Mat_F_UPPER_01_8
065,여자상의01_8(CUT),1_upper_cut,Mesh_F_SHIRT_01_CUT,Mat_F_UPPER_01_8_CUT
066,여자상의02_7,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_7
067,여자상의02_7(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_7_CUT
068,여자상의02_8,0_upper,Mesh_F_SHIRT_02,Mat_F_UPPER_02_8
069,여자상의02_8(CUT),1_upper_cut,Mesh_F_SHIRT_02_CUT,Mat_F_UPPER_02_8_CUT
070,남자야구상의,0_upper,Mesh_M_UPPER_03,Mat_M_UPPER_03
071,남자야구상의(CUT),1_upper_cut,Mesh_M_UPPER_03_CUT,Mat_M_UPPER_03_CUT
072,남자알로하상의1,0_upper,Mesh_M_UPPER_04,Mat_M_UPPER_04_1
073,남자알로하상의1(CUT),1_upper_cut,Mesh_M_UPPER_04_CUT,Mat_M_UPPER_04_1_CUT
074,남자알로하상의2,0_upper,Mesh_M_UPPER_04,Mat_M_UPPER_04_2
075,남자알로하상의2(CUT),1_upper_cut,Mesh_M_UPPER_04_CUT,Mat_M_UPPER_04_2_CUT
076,남자알로하상의3,0_upper,Mesh_M_UPPER_04,Mat_M_UPPER_04_3
077,남자알로하상의3(CUT),1_upper_cut,Mesh_M_UPPER_04_CUT,Mat_M_UPPER_04_3_CUT
078,남자러시가드,6_full_body,Mesh_M_RASHGUARD,Mat_M_RASHGUARD
079,남자러시가드(CUT),7_full_body_cut,Mesh_M_RASHGUARD_CUT,Mat_M_RASHGUARD_CUT
080,수영팬티1,6_full_body,Mesh_SWIMPANT_01,Mat_M_SWIMPANT_01
081,수영팬티1(CUT),7_full_body_cut,Mesh_SWIMPANT_01_CUT,Mat_M_SWIMPANT_01
082,수영팬티2,6_full_body,Mesh_SWIMPANT_02,Mat_M_SWIMPANT_02
083,수영팬티2(CUT),7_full_body_cut,Mesh_SWIMPANT_02_CUT,Mat_M_SWIMPANT_02
084,여자야구상의,0_upper,Mesh_F_UPPER_03,Mat_F_UPPER_03
085,여자야구상의(CUT),1_upper_cut,Mesh_F_UPPER_03_CUT,Mat_F_UPPER_03_CUT
086,여자알로하상의1,0_upper,Mesh_F_UPPER_04,Mat_F_UPPER_04_1
087,여자알로하상의1(CUT),1_upper_cut,Mesh_F_UPPER_04_CUT,Mat_F_UPPER_04_1_CUT
088,여자알로하상의2,0_upper,Mesh_F_UPPER_04,Mat_F_UPPER_04_2
089,여자알로하상의2(CUT),1_upper_cut,Mesh_F_UPPER_04_CUT,Mat_F_UPPER_04_2_CUT
090,여자알로하상의3,0_upper,Mesh_F_UPPER_04,Mat_F_UPPER_04_3
091,여자알로하상의3(CUT),1_upper_cut,Mesh_F_UPPER_04_CUT,Mat_F_UPPER_04_3_CUT
092,여자러시가드,6_full_body,Mesh_F_RASHGUARD,Mat_F_RASHGUARD
093,여자러시가드(CUT),7_full_body_cut,Mesh_F_RASHGUARD_CUT,Mat_F_RASHGUARD_CUT
094,수영원피스,6_full_body,Mesh_ONEPIECE,Mat_F_ONEPIECE
095,수영원피스(CUT),7_full_body_cut,Mesh_ONEPIECE_CUT,Mat_F_ONEPIECE
096,수영비키니,6_full_body,Mesh_BIKINI,Mat_F_BIKINI
097,수영비키니(CUT),7_full_body_cut,Mesh_BIKINI_CUT,Mat_F_BIKINI
